epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.877,1.32565,3.28021,1.19114,0.00255,0.70272,0.02374,0.01158,1.18328,4.26887,1.12614,0.000545744,0.000545744,0.000545744
2,216.243,1.23619,2.33708,1.13256,0.45575,0.62955,0.4152,0.27258,1.17231,2.60136,1.12473,0.00106506,0.00106506,0.00106506
3,325.851,1.2921,2.06389,1.17043,0.42772,0.7397,0.4595,0.30328,1.1415,3.40124,1.09399,0.00154771,0.00154771,0.00154771
